index, parcels, plants, distance 
308,28.0,11.0,1221.063763279698 
309,29.0,1.0,62.46154519938622 
310,29.0,2.0,62.423484783311956 
311,29.0,3.0,1470.784953684045 
312,29.0,4.0,1627.3080064488136 
313,29.0,5.0,1642.00881087308 
314,29.0,6.0,1628.5224707298246 
315,29.0,7.0,1629.3248628839842 
316,29.0,8.0,1611.142741802106 
317,29.0,9.0,657.1113762068454 
318,29.0,10.0,1278.3245346293284 
319,29.0,11.0,1278.5954389256658 
320,30.0,1.0,68.72439420288546 
321,30.0,2.0,68.68969917582321 
322,30.0,3.0,1464.0559821108616 
323,30.0,4.0,1620.4912935799211 
324,30.0,5.0,1635.1922226476743 
325,30.0,6.0,1621.705749545166 
326,30.0,7.0,1622.508153398977 
327,30.0,8.0,1604.3269392898517 
328,30.0,9.0,650.8252518061688 
329,30.0,10.0,1271.5901391976672 
330,30.0,11.0,1271.8531143362375 
331,31.0,1.0,75.09003583972473 
332,31.0,2.0,75.05819252075527 
333,31.0,3.0,1457.3203554952754 
334,31.0,4.0,1613.6662989385236 
335,31.0,5.0,1628.3673893573862 
336,31.0,6.0,1614.8807573666438 
337,31.0,7.0,1615.683160986794 
338,31.0,8.0,1597.5027984572953 
339,31.0,9.0,644.5439959215915 
340,31.0,10.0,1264.8477527141383 
341,31.0,11.0,1265.1027392024034 
342,32.0,1.0,81.52091960744207 
343,32.0,2.0,81.49151064876831 
344,32.0,3.0,1450.5942729435142 
345,32.0,4.0,1606.8494020277292 
346,32.0,5.0,1621.55069121767 
347,32.0,6.0,1608.0638740236645 
348,32.0,7.0,1608.8662651092345 
349,32.0,8.0,1590.6866948446948 
350,32.0,9.0,638.283083626221 
351,32.0,10.0,1258.1135472161384 
352,32.0,11.0,1258.3605045428567 
353,33.0,1.0,66.47437026921536 
354,33.0,2.0,66.44763959626157 
355,33.0,3.0,1465.1551041514147 
356,33.0,4.0,1620.4926523744648 
357,33.0,5.0,1635.2477735520267 
358,33.0,6.0,1621.7236952123314 
359,33.0,7.0,1622.5076801740677 
360,33.0,8.0,1604.228667238632 
361,33.0,9.0,653.484716634082 
362,33.0,10.0,1270.555259699604 
363,33.0,11.0,1270.8698915432658 
364,34.0,1.0,73.0302555219665 
365,34.0,2.0,73.00581850557789 
366,34.0,3.0,1458.4323574600032 
367,34.0,4.0,1613.6774930246518 
368,34.0,5.0,1628.4329082434347 
369,34.0,6.0,1614.9085796097606 
370,34.0,7.0,1615.6925184878971 
371,34.0,8.0,1597.414107849207 
372,34.0,9.0,647.2338072168578 
373,34.0,10.0,1263.8188444535826 
374,34.0,11.0,1264.1256810712675 
375,35.0,1.0,79.63406431267981 
376,35.0,2.0,79.61157388953849 
377,35.0,3.0,1451.7048082385734 
378,35.0,4.0,1606.8540206628634 
379,35.0,5.0,1621.609857995406 
380,35.0,6.0,1608.085189831549 
381,35.0,7.0,1608.8690394792652 
382,35.0,8.0,1590.5910106137642 
383,35.0,9.0,640.9930252737 
384,35.0,10.0,1257.0726529513856 
385,35.0,11.0,1257.3717220297715 
386,36.0,1.0,86.26558066089385 
387,36.0,2.0,86.24473850435282 
388,36.0,3.0,1444.9850839187811 
389,36.0,4.0,1600.038694668662 
390,36.0,5.0,1614.7949035837244 
391,36.0,6.0,1601.2699306013785 
392,36.0,7.0,1602.0537086218892 
393,36.0,8.0,1583.7761609532783 
394,36.0,9.0,634.7689324228355 
395,36.0,10.0,1250.336367465489 
396,36.0,11.0,1250.6275441607952 
397,37.0,1.0,64.84961169033211 
