index, depots, plants, distance 
519,1680,2,1798.8496212780797 
520,1680,3,319.07677333442484 
521,1680,4,144.9084463062423 
522,1680,5,125.34142475460753 
523,1680,6,141.46590123476136 
524,1680,7,143.65251854204587 
525,1680,8,172.63387304442708 
526,1680,9,1142.6234570480872 
527,1680,10,554.6904629156893 
528,1680,11,548.3192023744773 
529,1683,1,1819.3143660232447 
530,1683,2,1819.307524480404 
531,1683,3,337.2914999210767 
532,1683,4,161.42746150648978 
533,1683,5,141.97371940395197 
534,1683,6,158.17398833391044 
535,1683,7,160.04483974137935 
536,1683,8,188.56742502116168 
537,1683,9,1162.804830533307 
538,1683,10,572.5729916810905 
539,1683,11,566.3325975865991 
540,1684,1,1819.0467798709756 
541,1684,2,1819.0402748380632 
542,1684,3,340.319193923487 
543,1684,4,157.72583275293962 
544,1684,5,138.36843755023048 
545,1684,6,154.56512127467076 
546,1684,7,156.28983603428495 
547,1684,8,184.56812284950385 
548,1684,9,1163.9209261967846 
549,1684,10,569.3425593702941 
550,1684,11,563.1811697339461 
551,1687,1,1629.59470133418 
552,1687,2,1629.581831110661 
553,1687,3,115.52408674594959 
554,1687,4,202.09344103955922 
555,1687,5,195.71037539006602 
556,1687,6,198.8198633935985 
557,1687,7,203.19093114391154 
558,1687,8,219.79233065922992 
559,1687,9,953.7965245023365 
560,1687,10,484.29364730120574 
561,1687,11,475.66751750563867 
562,1689,1,1642.4299525226074 
563,1689,2,1642.4175285284155 
564,1689,3,130.7086415362274 
565,1689,4,191.67577969460697 
566,1689,5,184.2924673914911 
567,1689,6,188.26685754419768 
568,1689,7,192.67416116464148 
569,1689,8,210.60782910666998 
570,1689,9,967.991599941848 
571,1689,10,487.81150988423167 
572,1689,11,479.3289010737547 
573,1690,1,1621.3904069207208 
574,1690,2,1621.378241121569 
575,1690,3,115.85444392770245 
576,1690,4,191.74769963639682 
577,1690,5,186.47938050699022 
578,1690,6,188.62190623501226 
579,1690,7,192.94181388630264 
580,1690,8,208.27957852106763 
581,1690,9,948.3350772766986 
582,1690,10,469.476512311801 
583,1690,11,460.882170767707 
584,1691,1,1641.74437365589 
585,1691,2,1641.7323176402952 
586,1691,3,133.65184176097083 
587,1691,4,185.1687175669875 
588,1691,5,177.99618774454345 
589,1691,6,181.78301309160273 
590,1691,7,186.18477804079424 
591,1691,8,203.94146314828745 
592,1691,9,968.6684044587538 
593,1691,10,482.6946760711581 
594,1691,11,474.2568729365637 
595,1697,1,1645.0305935245851 
596,1697,2,1645.014103432052 
597,1697,3,113.96005024714061 
598,1697,4,265.51809933973266 
599,1697,5,256.98971563680277 
600,1697,6,261.994427335678 
601,1697,7,266.4233145538083 
602,1697,8,285.15687754571036 
603,1697,9,956.8373799720093 
604,1697,10,542.5748265808378 
605,1697,11,533.6537349273272 
606,1699,1,1665.2434041450658 
607,1699,2,1665.2270723846345 
608,1699,3,134.11972157459667 
609,1699,4,261.8994117924469 
610,1699,5,252.0388697897669 
611,1699,6,258.22301676202784 
612,1699,7,262.66113759770565 
613,1699,8,283.0136083346122 
614,1699,9,977.2570834977787 
615,1699,10,554.5540855901428 
616,1699,11,545.756629773479 
617,1705,1,1643.086589293966 
618,1705,2,1643.070826133445 
619,1705,3,112.35374712713548 
620,1705,4,252.32730044979678 
621,1705,5,244.04002628654223 
622,1705,6,248.82929698797057 
623,1705,7,253.25434349523164 
624,1705,8,271.77216159253913 
625,1705,9,957.2106808483173 
626,1705,10,531.529892924538 
627,1705,11,522.6679381290901 
628,1709,1,1655.6602650199509 
629,1709,2,1655.644964069717 
630,1709,3,125.78106282972297 
631,1709,4,242.94822951386297 
632,1709,5,233.82396523138954 
633,1709,6,239.34919751312108 
634,1709,7,243.78568481170842 
635,1709,8,263.3703914003807 
636,1709,9,971.0805406351184 
637,1709,10,534.2307926425196 
638,1709,11,525.4875482497013 
639,1711,1,1634.4955163923396 
640,1711,2,1634.4804352196513 
641,1711,3,105.57064175526286 
642,1711,4,240.88181933837734 
643,1711,5,233.360674052423 
644,1711,6,237.4754611639819 
645,1711,7,241.88268961653174 
646,1711,8,259.5397957194114 
647,1711,9,950.9729758637851 
648,1711,10,516.551561831437 
649,1711,11,507.7091200021681 
650,1717,1,1667.4097854740662 
651,1717,2,1667.3952999738515 
652,1717,3,140.05878810874384 
653,1717,4,227.4840454453958 
654,1717,5,217.56219232538362 
655,1717,6,223.79283292308637 
656,1717,7,228.2304591767288 
657,1717,8,248.85081920120163 
658,1717,9,985.3275871933682 
659,1717,10,532.1042299997979 
660,1717,11,523.5224169175634 
661,1742,1,1536.3955664410162 
662,1742,2,1536.3813216280691 
663,1742,3,35.5449721788577 
664,1742,4,259.8539333487702 
665,1742,5,259.80107535277676 
666,1742,6,257.59432517388666 
667,1742,7,261.4658553751293 
668,1742,8,269.0559936417884 
669,1742,9,857.6094572357462 
670,1742,10,442.7155912598293 
671,1742,11,433.3872011698059 
672,1814,1,1700.4375852919297 
673,1814,2,1700.4272663051765 
674,1814,3,200.5283020606014 
675,1814,4,151.58865066885204 
676,1814,5,138.63922341698222 
677,1814,6,147.60512075208825 
678,1814,7,151.9365190085644 
679,1814,8,176.39388892746615 
680,1814,9,1032.670009369949 
681,1814,10,506.79501369490333 
682,1814,11,499.04601796004295 
683,1899,1,1618.0881459065345 
684,1899,2,1618.0714382349304 
685,1899,3,87.27344181545082 
686,1899,4,272.6666928470594 
687,1899,5,265.9064981666914 
688,1899,6,269.3686812655985 
689,1899,7,273.7479256304761 
690,1899,8,290.24279587314714 
691,1899,9,929.6096569517008 
692,1899,10,527.4156568773371 
693,1899,11,518.3349492264491 
694,1903,1,1609.368361669344 
