Coor_ID,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15,Model 16,Model 17,Model 18,Model 19,Model 20,Model 21,Model 22,Model 23,Model 25,Model 26,Model 27,Model 28,Model 29,Model 30,Model 31,Model 32
63,16.69021239,16.63879323,16.33832649,16.70943869,16.51672862,16.27751774,17.55226579,16.27751774,16.98263092,16.51359875,16.60436475,16.57887873,16.53103656,17.47938472,16.53237793,16.86995589,16.59855215,16.8082529,15.93546854,15.93546854,16.63208639,16.63208639,17.02242488,16.66159652,16.55741682,16.53058943,16.7018376,17.1985914,17.09709444,17.09709444,16.28109472
64,19.7236527,18.51925064,19.84962452,20.7212007,19.91935062,18.88554506,20.93177351,18.88554506,20.33166425,19.41918209,19.84544095,19.68878966,20.28518019,19.40849077,18.74888191,20.81091494,19.55909913,19.54236487,18.17294437,18.17294437,20.53433477,20.53433477,21.17302579,19.97327213,19.37269803,20.2819263,19.78036327,20.56176036,19.75479703,19.75479703,16.34798006
65,14.60238889,14.60355556,14.33522222,14.75366667,14.59422222,14.26483333,15.34205556,14.26483333,14.93333333,14.33094444,14.77544444,14.37527778,14.51216667,14.93955556,14.31188889,14.89055556,14.40833333,15.03716667,13.57961111,13.57961111,14.66111111,14.66111111,15.141,14.92361111,14.61016667,14.49738889,14.54638889,15.11416667,14.875,14.875,14.14777778
66,17.1521675,17.08849356,16.80992008,17.18754191,16.97220019,16.69008926,18.08428323,16.69008926,17.52757844,17.00049972,17.08584049,17.09026229,17.00403716,17.87247895,16.97971725,17.40642108,16.98237034,17.35380164,16.31688923,16.31688923,17.15305187,17.15305187,17.59125238,17.06903764,17.05135043,17.02614617,17.17294997,17.74336234,17.56649029,17.56649029,16.5512447
67,17.31001514,17.1678816,16.85964525,17.33861006,17.19437395,16.7107835,18.09511373,16.7107835,17.62119509,16.92188124,17.40589221,17.00009674,17.06233273,17.42103069,16.78857848,17.61656944,16.94164538,17.76963633,16.16832116,16.16832116,17.29277409,17.29277409,17.82556462,17.20698935,17.25156378,17.18302009,17.10059946,17.86299031,17.51228211,17.51228211,16.07538769
68,15.08383333,15.0255,14.85244444,15.43461111,15.06477778,14.4235,15.82155556,14.4235,15.337,14.6335,15.21566667,14.87772222,15.13322222,15.16588889,14.54988889,15.47972222,14.833,15.68233333,13.80555556,13.80555556,15.26816667,15.26816667,15.66405556,15.41244444,14.98583333,15.28605556,15.05466667,15.60844444,14.97922222,14.97922222,13.91755556
69,17.82078379,17.80338848,17.47663886,17.81044064,17.62896531,17.39671449,18.77893594,17.39671449,18.27306169,17.60733871,17.82877622,17.68585265,17.64871132,18.50014094,17.63413687,17.96464765,17.8913053,18.05209432,16.93644414,16.93644414,17.73286698,17.73286698,18.19548805,17.93878977,17.75355329,17.68444222,17.81937336,18.38542596,18.14424242,18.14424242,17.35769259
70,15.54225259,15.55425018,15.24065809,15.69077443,15.51205176,15.19597742,16.33823038,15.19597742,15.94727455,15.24769115,15.73669623,15.28782101,15.4379977,15.89349226,15.22410969,15.79130593,15.53190984,15.99857457,14.43226899,14.43226899,15.5890018,15.5890018,16.09496897,15.93775923,15.55425018,15.4338606,15.48102352,16.06518186,15.79296076,15.79296076,15.06276284
71,17.46882948,17.43881892,17.14498425,17.47868369,17.2802557,17.01016072,18.41841713,17.01016072,17.86792505,17.2945891,17.43433973,17.38193325,17.31653711,18.17250976,17.28159946,17.70667431,17.27980779,17.7183202,16.58866922,16.58866922,17.44912106,17.44912106,17.90510229,17.47913161,17.41239172,17.34833935,17.46972531,18.05873841,17.84463326,17.84463326,16.93043119
72,17.28914944,17.27541664,16.94903353,17.27038128,17.06530466,16.87716516,18.18223983,16.87716516,17.62560329,17.1119962,17.25023982,17.14815928,17.12115141,18.14470349,17.12893333,17.44158363,17.14678599,17.45897853,16.51507675,16.51507675,17.20263274,17.20263274,17.64437145,17.3532359,17.1870689,17.1316799,17.29967794,17.8261023,17.69014749,17.69014749,16.95773098
73,17.95603707,17.1919136,17.6906684,18.28191325,18.03426465,17.20876927,18.86537857,17.20876927,18.37310673,17.7654384,18.02648511,17.82464933,17.93356286,17.80563267,17.33324187,18.50363007,17.9270799,18.0766199,16.7562595,16.7562595,18.25900684,18.25900684,18.82129452,17.78748042,17.71271042,18.10514487,17.83458984,18.62378071,18.13539863,18.13539863,15.11045511
74,20.11816025,19.86782449,19.64546742,20.23645617,20.07152909,19.39513166,21.00611594,19.39513166,20.53047799,19.7254767,20.26148976,19.83493724,19.87567816,19.99790091,19.47415922,20.45832238,20.06171199,20.73123745,18.71333483,18.71333483,20.17411765,20.17411765,20.7911217,19.99004724,19.88205926,20.05631259,19.88402268,20.76657897,20.26247145,20.26247145,17.96625437
